data,descricao,valor,tipo,categoria,conta_origem,conta_destino
2025-01-15,Transferencia PIX - Procedimento Estetico,850.00,CREDITO,RECEITA_SERVICO,BRADESCO_CONTA_CORRENTE,CAIXA_EMPRESA
2025-01-15,Pagamento Fornecedor - Material Clinico,-320.50,DEBITO,DESPESA_OPERACIONAL,CAIXA_EMPRESA,FORNECEDOR_MEDICAL_SUP
2025-01-16,Consulta Dermatologica - Dra. Silva,180.00,CREDITO,RECEITA_CONSULTA,PIX_INSTANTANEO,CAIXA_EMPRESA
2025-01-16,Aluguel Consultorio Janeiro 2025,-2800.00,DEBITO,DESPESA_FIXA,CAIXA_EMPRESA,IMOBILIARIA_MEDCENTRO
2025-01-17,Botox Facial - Paciente Anonimizado,1200.00,CREDITO,RECEITA_PROCEDIMENTO,CARTAO_CREDITO,CAIXA_EMPRESA
2025-01-17,Compra Equipamento Laser,-15000.00,DEBITO,INVESTIMENTO_EQUIPAMENTO,CAIXA_EMPRESA,FORNECEDOR_LASER_TECH
2025-01-18,Harmonizacao Facial - Acido Hialuronico,950.00,CREDITO,RECEITA_PROCEDIMENTO,TRANSFERENCIA_BANCARIA,CAIXA_EMPRESA
2025-01-18,Pagamento Contador - Servicos Contabeis,-450.00,DEBITO,DESPESA_ADMINISTRATIVA,CAIXA_EMPRESA,CONTADOR_SILVA_LTDA
2025-01-19,Limpeza Pele + Microagulhamento,380.00,CREDITO,RECEITA_PROCEDIMENTO,DINHEIRO,CAIXA_EMPRESA
2025-01-19,Taxa Anvisa - Renovacao Licenca,-180.00,DEBITO,TAXA_REGULATORIA,CAIXA_EMPRESA,ANVISA_BRASILIA
2025-01-20,Preenchimento Labial - Paciente Premium,1400.00,CREDITO,RECEITA_PROCEDIMENTO,PIX_INSTANTANEO,CAIXA_EMPRESA
2025-01-20,Energia Eletrica - Clinica Janeiro,-680.50,DEBITO,DESPESA_FIXA,CAIXA_EMPRESA,CEMIG_ENERGIA
2025-01-21,Peeling Quimico + Hidratacao,520.00,CREDITO,RECEITA_PROCEDIMENTO,CARTAO_DEBITO,CAIXA_EMPRESA
2025-01-21,Internet + Telefone Clinica,-120.00,DEBITO,DESPESA_FIXA,CAIXA_EMPRESA,VIVO_TELECOM
2025-01-22,Depilacao Laser Corpo Completo,890.00,CREDITO,RECEITA_PROCEDIMENTO,TRANSFERENCIA_BANCARIA,CAIXA_EMPRESA
